Percent,Real_Goal,Time,Cost,Prob,Results
10,10,42611500,51/51/51/51/51/51/51/51/50/51/51/51/51/51/51/51/51/51/51/51/51/,0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.04851622158720299/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/0.047574188920639825/,8/
10,11,68518400,51/50/50/50/51/50/51/51/50/51/50/50/50/51/50/50/50/51/50/50/50/,0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/,1/2/3/5/8/10/11/12/14/15/16/18/19/20/
10,7,44524500,51/51/51/51/51/51/51/51/51/51/50/51/50/51/51/51/51/51/51/51/51/,0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04847056073562341/0.04752941465940805/0.04847056073562341/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/,10/12/
10,11,43439100,50/50/50/51/51/50/51/51/50/50/50/50/50/50/51/50/50/50/50/51/51/,0.04792925952121188/0.04792925952121188/0.04792925952121188/0.046998623814719136/0.046998623814719136/0.04792925952121188/0.046998623814719136/0.046998623814719136/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.046998623814719136/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.046998623814719136/0.046998623814719136/,0/1/2/5/8/9/10/11/12/13/15/16/17/18/
10,12,40933200,51/50/51/51/51/51/50/50/50/51/50/50/50/51/51/51/50/50/50/51/50/,0.04713020697511544/0.04806344820444053/0.04713020697511544/0.04713020697511544/0.04713020697511544/0.04713020697511544/0.04806344820444053/0.04806344820444053/0.04806344820444053/0.04713020697511544/0.04806344820444053/0.04806344820444053/0.04806344820444053/0.04713020697511544/0.04713020697511544/0.04713020697511544/0.04806344820444053/0.04806344820444053/0.04806344820444053/0.04713020697511544/0.04806344820444053/,1/6/7/8/10/11/12/16/17/18/20/
10,3,44638100,51/50/51/51/51/50/51/51/50/50/51/51/50/51/51/50/50/50/51/51/51/,0.04726252899710224/0.048198390379708876/0.04726252899710224/0.04726252899710224/0.04726252899710224/0.048198390379708876/0.04726252899710224/0.04726252899710224/0.048198390379708876/0.048198390379708876/0.04726252899710224/0.04726252899710224/0.048198390379708876/0.04726252899710224/0.04726252899710224/0.048198390379708876/0.048198390379708876/0.048198390379708876/0.04726252899710224/0.04726252899710224/0.04726252899710224/,1/5/8/9/12/15/16/17/
10,12,43885000,51/51/51/51/51/51/51/51/51/51/51/51/50/51/51/51/51/51/51/51/50/,0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.04847056073562342/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.04847056073562342/,12/20/
10,13,57850900,51/50/51/50/51/51/51/51/50/51/50/50/51/51/51/50/51/51/50/50/51/,0.04726252899710224/0.048198390379708876/0.04726252899710224/0.048198390379708876/0.04726252899710224/0.04726252899710224/0.04726252899710224/0.04726252899710224/0.048198390379708876/0.04726252899710224/0.048198390379708876/0.048198390379708876/0.04726252899710224/0.04726252899710224/0.04726252899710224/0.048198390379708876/0.04726252899710224/0.04726252899710224/0.048198390379708876/0.048198390379708876/0.04726252899710224/,1/3/8/10/11/15/18/19/
10,12,38232600,51/51/51/51/51/51/51/51/51/51/51/51/50/51/51/51/51/51/51/51/50/,0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.04847056073562342/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.047529414659408055/0.04847056073562342/,12/20/
10,13,38703700,51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/50/,0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.04757418892063983/0.048516221587203/,20/
10,18,52545500,51/50/51/51/51/50/51/51/51/51/51/50/51/51/51/51/51/51/50/51/51/,0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/,1/5/11/18/
10,14,52092600,51/50/50/50/51/50/51/51/50/51/50/50/50/51/50/50/50/51/50/50/50/,0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/,1/2/3/5/8/10/11/12/14/15/16/18/19/20/
10,14,35351200,50/50/50/51/51/50/51/51/50/50/50/50/50/50/51/50/50/50/50/51/51/,0.04792925952121188/0.04792925952121188/0.04792925952121188/0.046998623814719136/0.046998623814719136/0.04792925952121188/0.046998623814719136/0.046998623814719136/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.046998623814719136/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.046998623814719136/0.046998623814719136/,0/1/2/5/8/9/10/11/12/13/15/16/17/18/
10,15,48969000,51/50/51/52/51/51/53/51/52/53/52/52/52/53/52/52/52/53/52/51/52/,0.048375067167333356/0.04933295829596266/0.048375067167333356/0.04743577527633343/0.048375067167333356/0.048375067167333356/0.04651472148417574/0.048375067167333356/0.04743577527633343/0.04651472148417574/0.04743577527633343/0.04743577527633343/0.04743577527633343/0.04651472148417574/0.04743577527633343/0.04743577527633343/0.04743577527633343/0.04651472148417574/0.04743577527633343/0.048375067167333356/0.04743577527633343/,1/
10,7,48777500,51/51/51/51/51/51/51/51/51/51/50/51/50/51/51/51/51/51/51/51/51/,0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04847056073562341/0.04752941465940805/0.04847056073562341/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/,10/12/
