World,Goals,Plans,Model,Step,Time,Cost,Prob,Results
10,3,10,1,5,5538800,291/50/254/,0.008631738619937495/0.973537303681127/0.017830957698935467/,1/
10,3,10,1,7,5690700,528/50/452/,8.498708252910546E-5/0.9995378431668047/3.771697506661584E-4/,1/
10,3,10,1,9,4684600,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,4157400,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,7266000,110/50/110/,0.1907338293032638/0.6185323413934725/0.1907338293032638/,1/
10,3,10,1,5,4350800,272/50/272/,0.012546000506692712/0.9749079989866145/0.012546000506692712/,1/
10,3,10,1,7,4581500,592/50/592/,2.424016810157937E-5/0.9999515196637967/2.424016810157937E-5/,1/
10,3,10,1,9,4830100,1104/50/969/,1.0582315377922334E-9/0.9999999840075073/1.493426112630681E-8/,1/
10,3,10,1,1,4500900,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4378200,156/50/156/,0.10008083802161331/0.7998383239567732/0.10008083802161331/,1/
10,3,10,1,5,4870100,307/50/307/,0.006395951226911915/0.9872080975461762/0.006395951226911915/,1/
10,3,10,1,7,4470900,620/50/620/,1.3999364988286689E-5/0.9999720012700233/1.3999364988286689E-5/,1/
10,3,10,1,9,4494200,1138/50/1000/,5.433141913782111E-10/0.9999999913246211/8.132064666838194E-9/,1/
10,3,10,1,1,4044000,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4311300,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,6805800,291/50/254/,0.008631738619937495/0.973537303681127/0.017830957698935467/,1/
10,3,10,1,7,4622400,595/50/528/,2.285404603634691E-5/0.9998921287478147/8.501720614885435E-5/,1/
10,3,10,1,9,4646300,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,4505000,65/50/65/,0.2992272363964754/0.4015455272070493/0.2992272363964754/,1/
10,3,10,1,3,7468300,140/50/120/,0.12019195552539759/0.7019035324839015/0.17790451199070098/,1/
10,3,10,1,5,6366800,272/50/225/,0.012312252641637827/0.9567442293242041/0.030943518034158082/,1/
10,3,10,1,7,8734100,556/50/478/,4.9090534026452195E-5/0.9997243340184209/2.2657544755265744E-4/,1/
10,3,10,1,9,4485400,1070/50/938/,2.06115356166046E-9/0.9999999705125824/2.7426264195902496E-8/,1/
10,3,10,1,1,4227800,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,6311600,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,6505000,272/50/225/,0.012312252641637827/0.9567442293242041/0.030943518034158082/,1/
10,3,10,1,7,6082200,599/50/517/,2.1129666704739092E-5/0.999873390350835/1.0547998246039743E-4/,1/
10,3,10,1,9,5951400,1096/50/961/,1.2379563271099634E-9/0.9999999812914218/1.7470621874107885E-8/,1/
10,3,10,1,1,6144900,65/50/65/,0.2992272363964754/0.4015455272070493/0.2992272363964754/,1/
10,3,10,1,3,6835600,140/50/120/,0.12019195552539759/0.7019035324839015/0.17790451199070098/,1/
10,3,10,1,5,5102900,304/50/266/,0.006727750624651565/0.9790992472534639/0.014173002121884465/,1/
10,3,10,1,7,7380700,642/50/570/,9.094055978604242E-6/0.9999535913049962/3.7314639025259285E-5/,1/
10,3,10,1,9,5330400,1061/50/930/,2.4589548222026563E-9/0.9999999654568406/3.2084204636070515E-8/,1/
10,3,10,1,1,6835700,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,5875100,110/50/110/,0.1907338293032638/0.6185323413934725/0.1907338293032638/,1/
10,3,10,1,5,6419600,254/50/254/,0.017668422014048047/0.9646631559719039/0.017668422014048047/,1/
10,3,10,1,7,8266000,542/50/372/,6.449434874507042E-5/0.9981276242594164/0.0018078813918385658/,1/
10,3,10,1,9,6606900,1053/50/776/,2.8765697067616887E-9/0.9999993399348175/6.571886128408083E-7/,1/
10,3,10,1,1,7165300,65/50/50/,0.2714526638004373/0.36427366809978134/0.36427366809978134/,1/2/
10,3,10,1,3,5765500,120/50/83/,0.14263019278001146/0.5627324176937275/0.2946373895262611/,1/
10,3,10,1,5,5454000,284/50/225/,0.009756029881666933/0.9592203675379366/0.031023602580396544/,1/
10,3,10,1,7,6361300,563/50/471/,4.27934171989957E-5/0.9996973042660481/2.599023167529387E-4/,1/
10,3,10,1,9,5027200,1036/50/891/,4.014578781430997E-9/0.9999999270569246/6.892849656172257E-8/,1/
10,3,10,1,1,5471400,65/50/65/,0.2992272363964754/0.4015455272070493/0.2992272363964754/,1/
10,3,10,1,3,5317600,125/50/125/,0.15743582961281208/0.6851283407743759/0.15743582961281208/,1/
10,3,10,1,5,8073600,278/50/231/,0.010998516359094327/0.9613596865455737/0.027641797095332005/,1/
10,3,10,1,7,5556100,606/50/523/,1.8420009991613937E-5/0.9998878059035895/9.377408641877822E-5/,1/
10,3,10,1,9,3807600,1121/50/985/,7.582560339415743E-10/0.9999999883289867/1.0912757219128279E-8/,1/
10,3,10,1,1,3515600,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,3751200,151/50/125/,0.10090258845827325/0.7310981636936295/0.1679992478480973/,1/
10,3,10,1,5,5092300,301/50/183/,0.006741737499680109/0.9250856320560147/0.06817263044430522/,1/
10,3,10,1,7,4309800,592/50/407/,2.421867166699633E-5/0.9990647521983821/9.110291299508961E-4/,1/
10,3,10,1,9,3739200,1070/50/783/,2.0611524373493193E-9/0.9999994250359482/5.729028994312168E-7/,1/
10,3,10,1,1,3840000,65/50/50/,0.2714526638004373/0.36427366809978134/0.36427366809978134/,1/2/
10,3,10,1,3,4644200,145/50/120/,0.11020460358442935/0.7098713587063951/0.17992403770917562/,1/
10,3,10,1,5,5733200,310/50/266/,0.0059855054689524735/0.9798309013127408/0.014183593218306718/,1/
10,3,10,1,7,3801500,619/50/542/,1.4275844650074582E-5/0.9999211139196733/6.46102356765689E-5/,1/
10,3,10,1,9,3471200,1139/50/1010/,5.327647367413278E-10/0.9999999927831028/6.68413239284758E-9/,1/
10,3,10,1,1,3581700,65/50/65/,0.2992272363964754/0.4015455272070493/0.2992272363964754/,1/
10,3,10,1,3,3673900,140/50/140/,0.1275533876101915/0.7448932247796171/0.1275533876101915/,1/
10,3,10,1,5,3806100,336/50/336/,0.003642247677440565/0.9927155046451188/0.003642247677440565/,1/
10,3,10,1,7,4582900,681/50/606/,4.233118194558947E-6/0.9999773452223135/1.842165949182366E-5/,1/
10,3,10,1,9,4666500,1113/50/977/,8.870344739815448E-10/0.9999999863468398/1.2766125723047828E-8/,1/
10,3,10,1,1,4159500,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,5721500,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,5256300,291/50/254/,0.008631738619937495/0.973537303681127/0.017830957698935467/,1/
10,3,10,1,7,5371700,595/50/528/,2.285404603634691E-5/0.9998921287478147/8.501720614885435E-5/,1/
10,3,10,1,9,5243700,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,6134700,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4828000,129/50/129/,0.1491012173171437/0.7017975653657127/0.1491012173171437/,1/
10,3,10,1,5,4601100,298/50/298/,0.0076115739076051065/0.9847768521847897/0.0076115739076051065/,1/
10,3,10,1,7,6416100,619/50/542/,1.4275844650074582E-5/0.9999211139196733/6.46102356765689E-5/,1/
10,3,10,1,9,3789200,1139/50/1010/,5.327647367413278E-10/0.9999999927831028/6.68413239284758E-9/,1/
10,3,10,1,1,3779300,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,3663200,129/50/129/,0.1491012173171437/0.7017975653657127/0.1491012173171437/,1/
10,3,10,1,5,3531400,304/50/304/,0.006778216148580351/0.9864435677028391/0.006778216148580351/,1/
10,3,10,1,7,5796900,626/50/626/,1.2445610859825785E-5/0.9999751087782804/1.2445610859825785E-5/,1/
10,3,10,1,9,4716000,915/50/1061/,4.305513388225809E-8/0.9999999544859113/2.4589547952256363E-9/,1/
10,3,10,1,1,3976800,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4676700,129/50/129/,0.1491012173171437/0.7017975653657127/0.1491012173171437/,1/
10,3,10,1,5,5329300,291/50/254/,0.008631738619937495/0.973537303681127/0.017830957698935467/,1/
10,3,10,1,7,4705200,595/50/528/,2.285404603634691E-5/0.9998921287478147/8.501720614885435E-5/,1/
10,3,10,1,9,3628500,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,3273300,65/50/65/,0.2992272363964754/0.4015455272070493/0.2992272363964754/,1/
10,3,10,1,3,3135300,151/50/151/,0.10815974610218114/0.7836805077956376/0.10815974610218114/,1/
10,3,10,1,5,8179900,343/50/301/,0.003165230011803755/0.9896227062847885/0.007212063703407612/,1/
10,3,10,1,7,3842300,613/50/529/,1.605781170546771E-5/0.9999005750450938/8.336714320071691E-5/,1/
10,3,10,1,9,3237700,1130/50/993/,6.355879765108851E-10/0.9999999900359537/9.328458192751853E-9/,1/
10,3,10,1,1,5024000,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,3283200,129/50/129/,0.1491012173171437/0.7017975653657127/0.1491012173171437/,1/
10,3,10,1,5,3267400,291/50/254/,0.008631738619937495/0.973537303681127/0.017830957698935467/,1/
10,3,10,1,7,5494600,595/50/528/,2.285404603634691E-5/0.9998921287478147/8.501720614885435E-5/,1/
